term,tf-idf,document
вход,0.0502488294,18.txt
никнейм,0.032222721,19.txt
зарегистрироваться,0.02647185,18.txt
подписчик,0.02484774,3.txt
зарегистрироваться,0.018607025,19.txt
вакансия,0.018354,4.txt
забывать,0.018242634,18.txt
фрилансер,0.0176931066,5.txt
пользовательский,0.0168485605,19.txt
иконка,0.0164800712,91.txt
обратный,0.016021317,18.txt
ммо,0.0154137552,10.txt
карточка,0.014956229,100.txt
трафик,0.0131838159,92.txt
адресный,0.011626755,91.txt
зарегистрировать,0.0116202605,19.txt
млн,0.0113950366,92.txt
обратный,0.0112613605,19.txt
час,0.0095406707,3.txt
кокосов,0.0087698952,98.txt
газета,0.008637018,88.txt
агент,0.008478665,51.txt
агент,0.008478665,57.txt
агент,0.008478665,58.txt
медийный,0.0081954018,92.txt
строка,0.008126755,91.txt
коломацкий,0.0079874392,50.txt
константин,0.0076498161,45.txt
радченко,0.0076498161,45.txt
меню,0.0075633775,91.txt
путин,0.0075377461,88.txt
просмотр,0.0073089936,3.txt
админ,0.0071842353,69.txt
лазеростроитель,0.0071744038,28.txt
сервисаслужба,0.0067102986,4.txt
соискателядль,0.0067102986,4.txt
михаил,0.0066777348,98.txt
серый,0.0066033162,91.txt
лампа,0.006558948,94.txt
лампа,0.006558948,96.txt
лампа,0.006558948,97.txt
телескоп,0.0064615098,46.txt
телескоп,0.0064615098,48.txt
телескоп,0.0064615098,49.txt
федерация,0.00644532,88.txt
инвайт,0.0064340004,100.txt
связь,0.006319986,18.txt
виджет,0.0062784477,100.txt
митягин,0.006269211,82.txt
патентование,0.006269211,82.txt
пароль,0.0062610737,18.txt
лазер,0.0062395096,32.txt
принимать,0.006238555,19.txt
лидар,0.0062235792,32.txt
беларусь,0.0060953688,92.txt
сквозной,0.0060953688,92.txt
спецпроект,0.0060953688,92.txt
андрей,0.0059751596,50.txt
краснодарский,0.0058465968,45.txt
мара,0.0058465968,3.txt
тестер,0.0058465968,69.txt
кирилл,0.0058346055,82.txt
ноябрь,0.0057667238,28.txt
сервисеуслуга,0.0057002986,4.txt
назад,0.0056731512,3.txt
редактор,0.0056364234,45.txt
помощь,0.005595693,18.txt
март,0.0055620787,23.txt
браузер,0.005531175,37.txt
браузер,0.005531175,38.txt
аудиомания,0.0055286794,59.txt
ян,0.0055261934,76.txt
лабораторный,0.0055144038,28.txt
постройка,0.0055144038,28.txt
ка,0.0055141901,43.txt
ка,0.0055141901,44.txt
транспондер,0.0055141901,43.txt
транспондер,0.0055141901,44.txt
окуляр,0.0054540701,46.txt
окуляр,0.0054540701,48.txt
окуляр,0.0054540701,49.txt
звук,0.0054,61.txt
звук,0.0054,99.txt
опция,0.0052940004,100.txt
лазер,0.0050762112,29.txt
лазер,0.0050762112,33.txt
лазер,0.0050762112,34.txt
тарифный,0.0050493336,100.txt
агентство,0.0050153688,92.txt
нативный,0.0050153688,92.txt
конференция,0.0049984188,24.txt
авторизация,0.0049665968,3.txt
сочи,0.0049665968,45.txt
управление,0.004878171,82.txt
управление,0.0048472965,59.txt
лагерь,0.0048084742,39.txt
лагерь,0.0048084742,40.txt
аудиомания,0.0047896975,61.txt
аудиомания,0.0047896975,99.txt
работник,0.0047734566,83.txt
работник,0.0047734566,89.txt
работник,0.0047734566,90.txt
бот,0.0047412795,10.txt
дистанционный,0.0047075884,83.txt
дистанционный,0.0047075884,89.txt
дистанционный,0.0047075884,90.txt
планета,0.0046902986,46.txt
планета,0.0046902986,48.txt
планета,0.0046902986,49.txt
корпоративный,0.0046757277,100.txt
лидар,0.0046676844,62.txt
меню,0.0046676844,92.txt
захватить,0.00464386,8.txt
аудитория,0.0045508483,66.txt
тюрин,0.0044513862,59.txt
нет,0.004442634,18.txt
связь,0.004442309,19.txt
пароль,0.0044086313,19.txt
лазер,0.0043888076,28.txt
мфти,0.0043849476,98.txt
посещать,0.0043836012,92.txt
украина,0.0043836012,92.txt
метрика,0.0042893336,100.txt
продление,0.0042893336,100.txt
трекинг,0.0042893336,100.txt
профилактический,0.0042494676,43.txt
профилактический,0.0042494676,44.txt
управление,0.004178349,22.txt
тк,0.0041330354,83.txt
тк,0.0041330354,89.txt
тк,0.0041330354,90.txt
исполнитель,0.0040865968,5.txt
сжатие,0.0040865968,69.txt
хостинг,0.0040446846,24.txt
книжка,0.0040186672,79.txt
законодательство,0.003973617,82.txt
гигант,0.0039602802,100.txt
немного,0.0039546237,69.txt
писать,0.0039506848,24.txt
помощь,0.0039332045,19.txt
масштабировать,0.0039198774,5.txt
чтение,0.0038932184,70.txt
чтение,0.0038932184,74.txt
чтение,0.0038932184,75.txt
транспортный,0.0038726488,50.txt
галочка,0.0038534388,91.txt
статичный,0.0038534388,91.txt
этомизменяться,0.0038534388,91.txt
консультация,0.0038447564,100.txt
нестандартный,0.0038447564,100.txt
увольнение,0.0038447564,83.txt
увольнение,0.0038447564,89.txt
увольнение,0.0038447564,90.txt
обл,0.0038378248,82.txt
астрономия,0.003831758,47.txt
инвестор,0.003821323,68.txt
инвестор,0.003821323,9.txt
бета,0.0038032984,69.txt
рождение,0.0038032984,45.txt
биография,0.0037813862,59.txt
старожил,0.0037813862,59.txt
аналитик,0.0037572024,50.txt
санкт,0.0037572024,50.txt
российский,0.0037546114,88.txt
программист,0.0037529133,69.txt
аудитория,0.0037518444,92.txt
рядом,0.0037257714,91.txt
инфографика,0.0037249476,98.txt
обл,0.0037249476,98.txt
фгбу,0.0037205616,88.txt
федеральный,0.0037205616,88.txt
рождение,0.0037168598,50.txt
копирайт,0.0036949095,82.txt
луна,0.0036873423,46.txt
луна,0.0036873423,48.txt
луна,0.0036873423,49.txt
пацак,0.0035918119,77.txt
пацак,0.0035918119,80.txt
пацак,0.0035918119,81.txt
алфавит,0.0035876844,92.txt
альфабанк,0.0035876844,92.txt
анонсирование,0.0035876844,92.txt
верстальщик,0.0035876844,92.txt
геотаргетинг,0.0035876844,92.txt
заботливый,0.0035876844,92.txt
заявкаотправлять,0.0035876844,92.txt
индивидуально,0.0035876844,92.txt
медиакит,0.0035876844,92.txt
медийнаяреклама,0.0035876844,92.txt
наценка,0.0035876844,92.txt
охватный,0.0035876844,92.txt
размещение,0.0035876844,92.txt
следующиетаргетинг,0.0035876844,92.txt
таргетинг,0.0035876844,92.txt
петербург,0.0035412908,50.txt
нейронный,0.0035212458,22.txt
проектор,0.0035212458,32.txt
фильтр,0.00351726,46.txt
фильтр,0.00351726,48.txt
фильтр,0.00351726,49.txt
приглашать,0.0034511265,59.txt
михаил,0.0034400452,23.txt
наблюдение,0.0033938428,46.txt
наблюдение,0.0033938428,48.txt
наблюдение,0.0033938428,49.txt
