term,idf
о,0
на,0.02915
в,0.02915
для,0.02915
и,0.02915
весь,0.04394
вопрос,0.04394
хабр,0.05889
сервис,0.05889
любой,0.05889
об,0.05889
работа,0.05889
по,0.05889
сайт,0.05889
пользователь,0.05889
как,0.074
разработка,0.074
компания,0.074
все,0.074
находить,0.074
ваш,0.074
сообщество,0.08927
специалист,0.08927
профессиональный,0.08927
развитие,0.08927
удаленный,0.08927
опыт,0.08927
входить,0.08927
если,0.08927
реклама,0.08927
публикация,0.1047
ответ,0.1047
автор,0.1047
она,0.1047
чтобы,0.1047
контент,0.1047
услуга,0.1047
становиться,0.12029
поток,0.12029
маркетинг,0.12029
с,0.12029
язык,0.12029
аккаунт,0.12029
информация,0.12029
соглашение,0.12029
пост,0.12029
мобильный,0.12029
про,0.13606
администрирование,0.13606
дизайн,0.13606
менеджмент,0.13606
регистрация,0.13606
новость,0.13606
тариф,0.13606
семинар,0.13606
выделять,0.13606
служба,0.13606
поддержка,0.13606
версия,0.13606
удаленка,0.152
лайфхаки,0.152
онлайн,0.152
научпоп,0.152
хаб,0.152
песочница,0.152
настройка,0.152
документ,0.152
устройство,0.152
раздел,0.152
конфиденциальность,0.152
мегапроект,0.152
опечатка,0.152
нажимать,0.152
сообщать,0.152
барьер,0.16812
стартапов,0.16812
игра,0.16812
опрос,0.18442
или,0.18442
русский,0.18442
мегапост,0.20091
не,0.20091
мы,0.20091
английский,0.20091
умность,0.21759
что,0.21759
быть,0.21759
интерфейс,0.21759
сохранять,0.21759
комментарий,0.23447
из,0.23447
от,0.25154
свой,0.25154
себя,0.25154
это,0.26882
до,0.26882
у,0.26882
к,0.26882
а,0.26882
то,0.26882
за,0.2863
этот,0.2863
который,0.2863
мочь,0.2863
статья,0.30401
они,0.30401
самый,0.30401
но,0.30401
человек,0.30401
какой,0.30401
он,0.30401
интернет,0.30401
я,0.32193
система,0.32193
вы,0.32193
делать,0.32193
другой,0.32193
хороший,0.34008
год,0.34008
только,0.34008
новый,0.34008
без,0.34008
время,0.34008
такой,0.34008
тот,0.34008
много,0.34008
после,0.35845
даже,0.35845
один,0.35845
еще,0.35845
сейчас,0.35845
кто,0.35845
помогать,0.35845
неделя,0.37707
сделать,0.37707
первый,0.37707
почему,0.37707
способ,0.37707
так,0.37707
условие,0.37707
указывать,0.37707
месяц,0.39593
при,0.39593
проект,0.39593
причина,0.39593
ли,0.39593
коронавирус,0.39593
минус,0.39593
надо,0.39593
риск,0.41504
раз,0.41504
материал,0.41504
когда,0.41504
работать,0.41504
обзор,0.41504
работодатель,0.41504
действовать,0.41504
инструкция,0.41504
проблема,0.4344
можно,0.4344
блог,0.4344
карантин,0.4344
уже,0.4344
сотрудник,0.4344
возможный,0.4344
прямо,0.4344
же,0.45403
просто,0.45403
два,0.45403
книга,0.45403
давать,0.45403
вирус,0.45403
во,0.45403
нерабочий,0.45403
аппарат,0.45403
плохой,0.45403
домашний,0.45403
пароль,0.45403
заболевать,0.45403
сутки,0.47393
самодельный,0.47393
бесплатный,0.47393
объявлять,0.47393
кино,0.47393
сериал,0.47393
сценарий,0.47393
запись,0.47393
паника,0.47393
распространение,0.47393
подробный,0.47393
получать,0.47393
респиратор,0.47393
заражение,0.47393
страсть,0.47393
водка,0.47393
рак,0.47393
подручный,0.47393
обманывать,0.47393
филогения,0.47393
курение,0.47393
летальность,0.47393
снижение,0.47393
изготавливать,0.49411
банкротство,0.49411
начинать,0.49411
сегодня,0.49411
курсы,0.49411
платежный,0.49411
читаемый,0.49411
ликбез,0.49411
антисептик,0.49411
аптека,0.49411
спирт,0.49411
самогонный,0.49411
дедовский,0.49411
удаление,0.49411
учетный,0.49411
верификация,0.49411
смена,0.49411
факт,0.49411
радио,0.49411
нужный,0.51457
нужно,0.51457
март,0.53533
очень,0.53533
большой,0.53533
более,0.53533
создавать,0.53533
часть,0.53533
сам,0.55639
бы,0.55639
рекомендовать,0.55639
под,0.55639
наш,0.55639
решение,0.57777
размещать,0.57777
хорошо,0.57777
поделиться,0.57777
