term,tf-idf,document
вход,0.03917,18.txt
никнейм,0.02624,19.txt
зарегистрироваться,0.02064,18.txt
подписчик,0.01906,3.txt
зарегистрироваться,0.01515,19.txt
вакансия,0.01502,4.txt
забывать,0.01422,18.txt
фрилансер,0.01412,5.txt
пользовательский,0.01372,19.txt
иконка,0.01287,91.txt
обратный,0.01249,18.txt
карточка,0.01168,100.txt
ммо,0.01156,10.txt
трафик,0.01028,92.txt
зарегистрировать,0.00946,19.txt
обратный,0.00917,19.txt
адресный,0.0091,91.txt
млн,0.00888,92.txt
час,0.00732,3.txt
газета,0.00698,88.txt
кокосов,0.00691,98.txt
агент,0.00664,51.txt
агент,0.00664,57.txt
агент,0.00664,58.txt
медийный,0.00637,92.txt
строка,0.00636,91.txt
коломацкий,0.00632,50.txt
путин,0.00607,88.txt
константин,0.00605,45.txt
радченко,0.00605,45.txt
меню,0.00592,91.txt
лазеростроитель,0.0057,28.txt
админ,0.00568,69.txt
просмотр,0.00561,3.txt
сервисаслужба,0.00551,4.txt
соискателядль,0.00551,4.txt
михаил,0.00526,98.txt
федерация,0.00518,88.txt
серый,0.00514,91.txt
лампа,0.0051,94.txt
лампа,0.0051,96.txt
лампа,0.0051,97.txt
принимать,0.00508,19.txt
инвайт,0.00502,100.txt
митягин,0.00502,82.txt
патентование,0.00502,82.txt
телескоп,0.005,46.txt
телескоп,0.005,48.txt
телескоп,0.005,49.txt
связь,0.00493,18.txt
виджет,0.00492,100.txt
пароль,0.00488,18.txt
лазер,0.00484,32.txt
лидар,0.00484,32.txt
беларусь,0.00474,92.txt
сквозной,0.00474,92.txt
спецпроект,0.00474,92.txt
андрей,0.00472,50.txt
сервисеуслуга,0.00468,4.txt
кирилл,0.00467,82.txt
краснодарский,0.00465,45.txt
тестер,0.00465,69.txt
ноябрь,0.00459,28.txt
редактор,0.00446,45.txt
мара,0.00445,3.txt
ян,0.00441,76.txt
аудиомания,0.00438,59.txt
лабораторный,0.00438,28.txt
постройка,0.00438,28.txt
помощь,0.00436,18.txt
назад,0.00435,3.txt
март,0.00431,23.txt
браузер,0.00425,37.txt
браузер,0.00425,38.txt
ка,0.00425,43.txt
ка,0.00425,44.txt
транспондер,0.00425,43.txt
транспондер,0.00425,44.txt
окуляр,0.00424,46.txt
окуляр,0.00424,48.txt
окуляр,0.00424,49.txt
звук,0.00422,61.txt
звук,0.00422,99.txt
опция,0.00413,100.txt
конференция,0.00396,24.txt
сочи,0.00395,45.txt
лазер,0.00394,29.txt
лазер,0.00394,33.txt
лазер,0.00394,34.txt
тарифный,0.00392,100.txt
агентство,0.0039,92.txt
нативный,0.0039,92.txt
управление,0.0039,82.txt
управление,0.00384,59.txt
авторизация,0.00378,3.txt
аудиомания,0.00375,61.txt
аудиомания,0.00375,99.txt
лагерь,0.00373,39.txt
лагерь,0.00373,40.txt
работник,0.00372,83.txt
работник,0.00372,89.txt
работник,0.00372,90.txt
дистанционный,0.00369,83.txt
дистанционный,0.00369,89.txt
дистанционный,0.00369,90.txt
корпоративный,0.00366,100.txt
планета,0.00365,46.txt
планета,0.00365,48.txt
планета,0.00365,49.txt
лидар,0.00363,62.txt
меню,0.00363,92.txt
захватить,0.00362,8.txt
связь,0.00362,19.txt
пароль,0.00359,19.txt
бот,0.00355,10.txt
аудитория,0.00354,66.txt
тюрин,0.00352,59.txt
лазер,0.00349,28.txt
нет,0.00346,18.txt
мфти,0.00345,98.txt
посещать,0.00341,92.txt
украина,0.00341,92.txt
управление,0.00338,22.txt
метрика,0.00333,100.txt
продление,0.00333,100.txt
трекинг,0.00333,100.txt
профилактический,0.00329,43.txt
профилактический,0.00329,44.txt
исполнитель,0.00325,5.txt
сжатие,0.00325,69.txt
тк,0.00325,83.txt
тк,0.00325,89.txt
тк,0.00325,90.txt
хостинг,0.00321,24.txt
помощь,0.0032,19.txt
законодательство,0.00318,82.txt
немного,0.00314,69.txt
писать,0.00314,24.txt
масштабировать,0.00312,5.txt
гигант,0.00309,100.txt
книжка,0.00309,79.txt
галочка,0.00306,91.txt
статичный,0.00306,91.txt
транспортный,0.00306,50.txt
этомизменяться,0.00306,91.txt
обл,0.00305,82.txt
бета,0.00303,69.txt
рождение,0.00303,45.txt
российский,0.00302,88.txt
чтение,0.003,70.txt
чтение,0.003,74.txt
